term,coef,std_err,p_value,sig
const,0.45481538566901397,0.05874814179433501,9.803193731017403e-15,***
yr,0.11729163043387594,0.016520745133480706,1.2506653407854203e-12,***
holiday,-0.041648415668880924,0.03124771442838297,0.1825820893604424,
workingday,0.0261712283854799,0.01149496389040016,0.022800798397842735,*
temp,0.5355146570966642,0.055930051748319026,1.0213240099065522e-21,***
hum,-0.12522839295168667,0.03847919270134602,0.0011361439996829463,**
windspeed,-0.1565884562022888,0.045825094957477566,0.0006329444048546912,***
log_lag_1,0.7409692373621295,0.019173164210750635,0.0,***
log_lag_2,-0.02467568018209049,0.016764587328138198,0.14104975089009983,
log_lag_3,-0.1973029618956392,0.012317117912589548,9.476269694113534e-58,***
log_lag_24,0.08203794140395143,0.010476409294406195,4.850420633705678e-15,***
log_lag_168,0.19246552351693796,0.014977015857597397,8.520706050721949e-38,***
season_2,0.010945136206135277,0.022678684794482016,0.6293671617246217,
season_3,-0.03480907798834145,0.02802695516560962,0.21424183215933257,
season_4,0.03159430587476672,0.02158412242776622,0.14325534584218844,
mnth_2,-0.01701899919209799,0.016230357831790453,0.29436662558338,
mnth_3,-0.006684913480287054,0.02111826449331871,0.75158770867531,
mnth_4,0.04507879466161051,0.01506202100820135,0.0027635999726036767,**
mnth_5,0.018762393595767774,0.013293087173376298,0.15811494577346408,
mnth_6,-0.05289605205123381,0.016342104975337224,0.0012087999717875107,**
mnth_7,-0.06665881523508796,0.01770891130637771,0.0001671234723155274,***
mnth_8,-0.03724549553533808,0.018377147197014793,0.04269014404300414,*
mnth_9,0.06909523278208861,0.017755848914720398,9.966463578058456e-05,***
mnth_10,0.013743578773682314,0.017028540332307503,0.41961415407769187,
mnth_11,0.027375154686252803,0.01622839991904836,0.09162890030853371,.
mnth_12,-0.009524427585175183,0.024541326864806652,0.6979438824912931,
hr_1,-0.06366074944292771,0.02634436008744016,0.01567117442997974,*
hr_2,-0.03589990319969689,0.028900728205390833,0.21417020000820153,
hr_3,-0.1933001199284536,0.034265310885051976,1.687932744870344e-08,***
hr_4,-0.15402498791077793,0.04375252202906737,0.0004309480840013265,***
hr_5,0.5789915654397988,0.04534413577049684,2.4480627822215733e-37,***
hr_6,0.6620253650987163,0.047871900168403224,1.7013234357204404e-43,***
hr_7,0.48890035870833265,0.041953063008571476,2.2020336787419364e-31,***
hr_8,0.45119189408905747,0.03969426027566666,6.127519041160266e-30,***
hr_9,-0.007953889220699817,0.028343994132958572,0.779001939703089,
hr_10,0.16622918844650597,0.025160873092483223,3.9310273491915515e-11,***
hr_11,0.5968690652047866,0.03175943020038879,8.545008122115651e-79,***
hr_12,0.5715706428515347,0.0345961725435878,2.5816490756171153e-61,***
hr_13,0.3537590356396363,0.02949935695401008,3.909008601380461e-33,***
hr_14,0.33184899185117966,0.02931866661330106,1.0604084944516253e-29,***
hr_15,0.4580070748110177,0.03147822391193313,5.843243357908385e-48,***
hr_16,0.6034087652687189,0.036136863740424345,1.358206307107089e-62,***
hr_17,0.6932689572960291,0.04295691986423028,1.3637777530741771e-58,***
hr_18,0.3614832021770346,0.03525568352622361,1.1450166753955042e-24,***
hr_19,0.2792605361156498,0.03142723350930132,6.338210931837178e-19,***
hr_20,0.362250842226489,0.02993478422023792,1.039078982981047e-33,***
hr_21,0.3820687650421726,0.028641131388325664,1.3570894746352299e-40,***
hr_22,0.32938277932962307,0.02587472065035906,4.0332093939153435e-37,***
hr_23,0.14821835881139744,0.02352521512731391,2.968708901668893e-10,***
weekday_1,-0.023665935934644305,0.008718555636940541,0.006638930964726206,**
weekday_2,-0.01603264861904111,0.010886123139464875,0.14081571439334847,
weekday_3,-0.005739003055812182,0.011670075454391915,0.6228813378477331,
weekday_4,0.006095870011415344,0.012944072765799404,0.637684223297817,
weekday_5,0.023864530314658718,0.010516730422144637,0.023256364862715234,*
weekday_6,0.03051643623882964,0.018062658934438078,0.09112816814130845,.
weathersit_2,-0.033884681349709136,0.009086187409589032,0.00019204911855486673,***
weathersit_3,-0.31620692264737993,0.02339902896267782,1.2986918301869882e-41,***
weathersit_4,-0.11757606727418807,0.22959475083404998,0.6085792097815711,
