model,split,MAE,RMSE
LSTM (window=72),validation,28.221091766622887,43.50391520654396
RNN (window=72),validation,34.69169073317516,55.428970204164315
Poisson Lagged Regression,validation,41.92856474694543,62.08063865103399
Lagged Regression,validation,43.31385402573593,65.70041256578021
SARIMAX,validation,52.2299272101377,80.92947776065269
ARIMA,validation,53.006074553533075,83.4962001265994
LSTM (window=72),test,27.683890827393537,43.87993207133649
RNN (window=72),test,33.967909242760896,55.17753836665412
Poisson Lagged Regression,test,37.77270915112706,57.771635801091776
Lagged Regression,test,37.96439484871951,59.3979980164194
SARIMAX,test,50.80227967725743,81.26116222250408
ARIMA,test,52.56002924909403,84.17841500164698
